City_development_index,Gender,Relevant_Experience,Enrolled_university,Education_level,Major_discipline,Total_Experience,Company_size,Company_type,target
0.840,Male,No relevent experience,No Enrollment,Graduate,STEM,6,0-9,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Masters,STEM,16,5000-9999,NGO,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,Business Degree,21,10000+,Pvt Ltd,0
0.880,Male,Has relevent experience,No Enrollment,Graduate,STEM,1,0-9,Early Stage Startup,0
0.890,Male,No relevent experience,No Enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,50-99,Funded Startup,0
0.930,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,500-999,NGO,0
0.920,Male,No relevent experience,No Enrollment,Graduate,Other,2,1000-4999,Public Sector,0
0.900,Male,Has relevent experience,No Enrollment,Masters,STEM,15,10000+,Pvt Ltd,1
0.880,Male,No relevent experience,Full time course,Masters,STEM,14,100-499,Public Sector,0
0.750,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,0-9,NGO,0
0.760,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,10-49,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,Arts,21,0-9,Pvt Ltd,0
0.920,Male,No relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0
0.920,Female,Has relevent experience,Full time course,Graduate,STEM,4,5000-9999,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,10-49,Pvt Ltd,0
0.860,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,10-49,Funded Startup,0
0.900,Male,No relevent experience,No Enrollment,Masters,STEM,8,10-49,Pvt Ltd,0
0.790,Female,Has relevent experience,No Enrollment,Masters,Humanities,6,50-99,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,5000-9999,Pvt Ltd,0
0.880,Female,No relevent experience,Part time course,Graduate,STEM,5,100-499,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,10000+,Pvt Ltd,0
0.920,Other,Has relevent experience,No Enrollment,Graduate,Arts,5,10-49,Early Stage Startup,0
0.880,Male,Has relevent experience,No Enrollment,Masters,STEM,4,100-499,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,19,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Masters,Humanities,2,10000+,NGO,0
0.880,Male,Has relevent experience,Part time course,Graduate,STEM,10,50-99,Public Sector,0
0.620,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,1
0.760,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Public Sector,0
0.880,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,10-49,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,10000+,Public Sector,1
0.760,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,10-49,Funded Startup,0
0.830,Male,Has relevent experience,No Enrollment,Graduate,Arts,9,1000-4999,Pvt Ltd,1
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,500-999,Pvt Ltd,0
0.780,Male,Has relevent experience,Full time course,Graduate,STEM,14,1000-4999,Pvt Ltd,0
0.620,Female,Has relevent experience,No Enrollment,Graduate,STEM,0,50-99,Pvt Ltd,0
0.840,Male,Has relevent experience,No Enrollment,Masters,Humanities,2,100-499,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,21,1000-4999,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Phd,STEM,15,10000+,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,100-499,Pvt Ltd,1
0.800,Male,Has relevent experience,Full time course,Graduate,STEM,0,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,Other,10,50-99,Pvt Ltd,0
0.940,Male,Has relevent experience,No Enrollment,Masters,STEM,21,10000+,Pvt Ltd,0
0.930,Male,Has relevent experience,Part time course,Masters,STEM,14,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,0
0.800,Male,Has relevent experience,No Enrollment,Masters,STEM,21,100-499,Public Sector,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,No Major,17,10-49,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1
0.940,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,10000+,Pvt Ltd,0
0.790,Female,Has relevent experience,Full time course,Graduate,STEM,9,100-499,Pvt Ltd,0
0.680,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,100-499,Pvt Ltd,0
0.620,Male,Has relevent experience,Full time course,Graduate,STEM,5,10-49,Pvt Ltd,1
0.930,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,500-999,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,Humanities,19,100-499,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,0-9,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1
0.800,Male,Has relevent experience,Full time course,Graduate,STEM,8,5000-9999,Pvt Ltd,0
0.560,Male,No relevent experience,No Enrollment,Graduate,STEM,0,0-9,Early Stage Startup,1
0.800,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,10000+,Pvt Ltd,0
0.700,Male,Has relevent experience,No Enrollment,Graduate,STEM,18,10000+,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,50-99,Pvt Ltd,1
0.860,Male,Has relevent experience,No Enrollment,Graduate,Humanities,9,10000+,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,50-99,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Masters,STEM,5,100-499,Pvt Ltd,1
0.920,Male,Has relevent experience,Full time course,Graduate,STEM,5,100-499,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,500-999,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,14,500-999,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,100-499,Pvt Ltd,1
0.750,Male,No relevent experience,Part time course,Graduate,STEM,8,0-9,Early Stage Startup,0
0.900,Male,Has relevent experience,No Enrollment,Masters,STEM,17,0-9,Early Stage Startup,0
0.910,Male,Has relevent experience,No Enrollment,Phd,STEM,21,100-499,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Masters,STEM,10,50-99,Pvt Ltd,0
0.890,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,0
0.860,Male,No relevent experience,No Enrollment,Masters,STEM,21,100-499,Pvt Ltd,0
0.620,Male,No relevent experience,No Enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Masters,Humanities,7,0-9,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,50-99,Pvt Ltd,0
0.830,Male,Has relevent experience,Full time course,Graduate,STEM,5,10-49,Public Sector,0
0.940,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,0
0.930,Male,Has relevent experience,Part time course,Graduate,STEM,18,100-499,NGO,0
0.700,Male,Has relevent experience,No Enrollment,Graduate,STEM,14,50-99,Public Sector,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,Humanities,17,50-99,Funded Startup,0
0.620,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-499,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,50-99,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,10000+,Pvt Ltd,0
0.910,Male,Has relevent experience,No Enrollment,Masters,STEM,21,10000+,Pvt Ltd,0
0.620,Male,Has relevent experience,Full time course,Graduate,STEM,2,0-9,Pvt Ltd,1
0.870,Male,Has relevent experience,No Enrollment,Masters,STEM,12,50-99,Pvt Ltd,0
0.620,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,100-499,Pvt Ltd,1
0.880,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,0-9,Early Stage Startup,0
0.920,Male,Has relevent experience,No Enrollment,Masters,STEM,21,10-49,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,0-9,Early Stage Startup,0
0.890,Male,Has relevent experience,No Enrollment,Masters,STEM,12,10000+,Pvt Ltd,0
0.930,Male,Has relevent experience,No Enrollment,Masters,STEM,21,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,0
0.750,Male,Has relevent experience,No Enrollment,Graduate,STEM,21,100-499,Pvt Ltd,0
0.620,Male,No relevent experience,No Enrollment,Graduate,STEM,4,10-49,Pvt Ltd,1
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,10-49,Pvt Ltd,0
0.620,Male,Has relevent experience,Full time course,Graduate,Other,5,100-499,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,10000+,Pvt Ltd,0
0.920,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,50-99,Pvt Ltd,0
0.920,Female,No relevent experience,No Enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,0
0.760,Male,Has relevent experience,No Enrollment,Masters,STEM,8,1000-4999,Public Sector,0
